Subject_nr	Trial_nr	Label	VoiceOnset	Unknown	Condition 
201	1	iron	256	1	1
201	2	turkey	316	1	1
201	3	drill	896	0	1
201	4	squirrel	452	1	1
201	5	whistle	1144	1	1
201	6	snail	360	1	1
201	7	nurse	626	0	1
201	8	wallet	45	1	1
201	9	dice	534	0	1
201	10	bra	458	1	1
201	11	brick	686	1	1
201	12	chalk	725	1	1
201	13	frog	184	1	1
201	14	whip	1398	0	1
201	15	doll	248	1	1
201	16	basket	915	1	1
201	17	bone	161	1	1
201	18	garlic	1087	1	1
201	19	bowl	588	0	1
201	20	leaf	696	1	1
201	21	lid	877	1	1
201	22	scarf	846	1	1
201	23	glove	582	1	1
201	24	ruler	1823	1	2
201	25	shovel	701	0	2
201	26	swing	638	1	2
201	27	coffin	1207	1	2
201	28	seal	487	1	2
201	29	mop	962	1	2
201	30	zipper	434	0	2
201	31	shark	461	1	2
201	32	peach	464	1	2
201	33	bracelet	489	1	2
201	34	tray	537	1	2
201	35	lighter	21	1	2
201	36	ant	316	1	2
201	37	deer	1319	1	2
201	38	pocket	569	1	2
201	39	mushroom	1771	1	2
201	40	bull 	153	1	2
201	41	chair	74	1	2
201	42	sausage	880	1	2
201	43	broom	707	1	2
201	44	axe	777	1	2
201	45	bucket	356	1	2
201	46	fence	1381	1	2
201	47	straw	894	1	3
201	48	chain	1202	0	3
201	49	stork	764	1	3
201	50	suit	600	1	3
201	51	parrot	752	1	3
201	52	tie	806	1	3
201	53	donkey	864	1	3
201	54	pencil	337	1	3
201	55	heel	114	1	3
201	56	lightning	611	1	3
201	57	waiter	639	1	3
201	58	match	59	1	3
201	59	arrow	1501	1	3
201	60	moustache	595	1	3
201	61	onion	696	1	3
201	62	spoon	1103	0	3
201	63	skull	333	1	3
201	64	belt	648	1	3
201	65	cage	377	1	3
201	66	candle	1871	1	3
201	67	duck	296	1	3
201	68	sleeve	834	1	3
201	69	pillow	110	0	3
201	70	bullet	144	1	3
201	71	skirt	877	1	3
201	72	blanket	1009	1	3
201	73	watch	277	1	3
201	74	rope	40	0	3
201	75	root	794	1	3
201	76	wing	415	1	3
201	77	painting	377	1	3
201	78	knife	217	1	3
201	79	mug	255	1	3
201	80	wood	583	1	3
201	81	cloud	587	1	3
201	82	wave	197	1	3
201	83	tree	147	1	3
201	84	horse	854	1	3
201	85	goal	609	1	3
201	86	window	794	1	3
201	87	leg	154	0	3
201	88	back	20	1	3
201	89	raccoon	175	1	3
201	90	skunk	315	1	3
201	91	monkey	1675	1	3
201	92	scar	708	0	3
201	93	pigeon	524	1	3
201	94	snake	608	1	3
201	95	dress	507	1	3
201	96	key	427	1	3
201	97	coat	698	0	3
201	98	branch	564	1	3
201	99	lock	157	1	3
201	100	bird	362	1	3
201	101	chest	658	0	3
