Subject_nr	Trial_nr	Item	Spanish_Label	Condition	VoiceOnset	Error	ErrorDetail	RT_new	RT_pre	ArticlesPre	ArticlesPost
601	1	leaf	hoja	2	932	0	0	829.707140925249	791.453219241313	NA	NA
601	2	lid	tapa	2	798	0	0	784.289683438075	1817.34542790949	NA	NA
601	3	frog	rana	2	685	0	0	626.689200066972	675.72160432225	NA	NA
601	4	deer	ciervo	1	1341	0	0	1328	738.504232328601	NA	NA
601	5	bra	sujetador	2	607	0	0	592.000000000001	679.099701555881	NA	NA
601	6	brick	ladrillo	2	737	0	0	664	739.311684651765	NA	NA
601	7	nurse	enfermera	2	644	0	0	624	811.530693889653	NA	NA
601	8	bracelet	pulsera	1	674	0	0	638.290225258874	917.705981729327	NA	NA
601	9	ant	hormiga	1	1087	0	0	1064	1363.61445639162	NA	NA
601	10	garlic	ajo	2	918	0	0	910.037217138478	1179.44754137199	NA	NA
601	11	bone	hueso	2	664	0	0	636.506795035676	1181.02827352659	NA	NA
601	12	whip	látigo	2	852	0	0	832.000000000001	1947.7983893157	NA	NA
601	13	ruler	regla	1	1007	0	0	988.737861264231	2065.30978529766	NA	NA
601	14	pencil	lápiz	1	967	0	0	929.516446860028	747.800907549199	NA	NA
601	15	glove	guante	2	554	0	0	719.980777651847	846.793244310412	NA	NA
601	16	broom	escoba	1	1487	0	0	1417.94837196138	948.585	1	NA
601	17	zipper	cremallera	1	917	0	0	886.745514785431	891.654574433318	NA	NA
601	18	basket	canasta	2	852	0	0	832.124021173561	1124.93122154929	NA	NA
601	19	bowl	cuenco	2	675	0	0	651.345432235024	1088.51309892655	NA	NA
601	20	mushroom	hongo	1	1529	0	0	1504	753.462011131719	NA	NA
601	21	peach	melocotón	1	1417	0	0	1408	1643.81924465174	NA	NA
601	22	turkey	pavo	2	687	0	0	769.768510767091	1096.61999079024	NA	NA
601	23	mop	fregona	1	1181	0	0	1160	1965.6900866832	NA	NA
601	24	sausage	salchicha	1	979	0	0	934.599743702025	804.275651671323	NA	NA
601	25	seal	foca	1	1101	0	0	1057.27953053791	827.503634321534	NA	NA
601	26	donkey	burro	1	960	0	0	950.00262410562	806.451879742704	NA	NA
601	27	wallet	cartera	2	688	0	0	656.175139096389	787.343	1	NA
601	28	drill	taladro	2	1305	0	0	1280.64700543176	3163.523	1	NA
601	29	bucket	cubo	1	1183	0	0	1168	823.803010882985	NA	NA
601	30	swing	columpio	1	786	0	0	755.267229277214	846.662438529102	NA	NA
601	31	squirrel	ardilla	2	719	0	0	673.576676884241	958.212607452964	NA	NA
