Item	Picture	Audio_Spanish	Label1	Label2	RespCode	Condition	Block	
schommel	swing.png	columpio.wav	cubo	columpio	2	1	1
mier	ant.png	hormiga.wav	salchicha	hormiga	1	1	1
worst	sausage.png	salchicha.wav	salchicha	alambrada	2	1	1
liniaal	ruler.png	regla.wav	columpio	regla	2	1	1
bijl	axe.png	hacha.wav	bolsillo	hacha	1	1	1
hert	deer.png	ciervo.wav	escoba	ciervo	1	1	1
stoel	chair.png	silla.wav	silla	tacón	2	1	1
jurk	dress.png	vestido.wav	toro	vestido	2	1	1
hek	fence.png	alambrada.wav	alambrada	foca	2	1	1
emmer	bucket.png	cubo.wav	tiburón	cubo	2	1	1
bezem	broom.png	escoba.wav	pulsera	escoba	2	1	1
perzik	peach.png	melocotón.wav	hormiga	melocotón	1	1	1
stier	bull.png	toro.wav	toro	hacha	1	1	1
zeehond	seal.png	foca.wav	foca	fregona	1	1	1
aansteker	lighter.png	mechero.wav	regla	mechero	2	1	1
hak	heel.png	tacón.wav	mechero	tacón	2	1	1
armband	bracelet.png	pulsera.wav	bandeja	pulsera	1	1	1
dweil	mop.png	fregona.wav	fregona	hongo	2	1	1
broekzak	pocket.png	bolsillo.wav	bolsillo	ciervo	2	1	1
paddenstoel	mushroom.png	hongo.wav	silla	hongo	1	1	1
dienblad	tray.png	bandeja.wav	bandeja	corbata	2	1	1
stropdas	tie.png	corbata.wav	corbata	melocotón	2	1	1
haai	shark.png	tiburón.wav	vestido	tiburón	2	1	1
schommel	swing.png	columpio.wav	columpio	tiburón	1	1	2
mier	ant.png	hormiga.wav	alambrada	hormiga	1	1	2
worst	sausage.png	salchicha.wav	salchicha	foca	2	1	2
liniaal	ruler.png	regla.wav	cubo	regla	1	1	2
bijl	axe.png	hacha.wav	ciervo	hacha	2	1	2
hert	deer.png	ciervo.wav	ciervo	pulsera	2	1	2
stoel	chair.png	silla.wav	silla	mechero	1	1	2
jurk	dress.png	vestido.wav	hacha	vestido	2	1	2
hek	fence.png	alambrada.wav	fregona	alambrada	2	1	2
emmer	bucket.png	cubo.wav	cubo	vestido	2	1	2
bezem	broom.png	escoba.wav	bandeja	escoba	2	1	2
perzik	peach.png	melocotón.wav	melocotón	salchicha	1	1	2
stier	bull.png	toro.wav	bolsillo	toro	1	1	2
zeehond	seal.png	foca.wav	hongo	foca	1	1	2
aansteker	lighter.png	mechero.wav	mechero	columpio	2	1	2
hak	heel.png	tacón.wav	regla	tacón	2	1	2
armband	bracelet.png	pulsera.wav	corbata	pulsera	2	1	2
dweil	mop.png	fregona.wav	fregona	silla	1	1	2
broekzak	pocket.png	bolsillo.wav	escoba	bolsillo	1	1	2
paddenstoel	mushroom.png	hongo.wav	tacón	hongo	1	1	2
dienblad	tray.png	bandeja.wav	bandeja	melocotón	1	1	2
stropdas	tie.png	corbata.wav	corbata	hormiga	2	1	2
haai	shark.png	tiburón.wav	tiburón	toro	1	1	2
Item	Picture	Audio_Spanish	Label1	Label2	RespCode	Condition	Block	
schommel	swing.png	columpio.wav	cubo	columpio	2	1	1
mier	ant.png	hormiga.wav	salchicha	hormiga	2	1	1
worst	sausage.png	salchicha.wav	salchicha	alambrada	1	1	1
liniaal	ruler.png	regla.wav	columpio	regla	2	1	1
bijl	axe.png	hacha.wav	bolsillo	hacha	2	1	1
hert	deer.png	ciervo.wav	escoba	ciervo	2	1	1
stoel	chair.png	silla.wav	silla	cebolla	1	1	1
raam	window.png	ventana.wav	toro	ventana	2	1	1
hek	fence.png	alambrada.wav	alambrada	foca	1	1	1
emmer	bucket.png	cubo.wav	tiburón	cubo	2	1	1
bezem	broom.png	escoba.wav	pulsera	escoba	2	1	1
perzik	peach.png	melocotón.wav	hormiga	melocotón	2	1	1
stier	bull.png	toro.wav	toro	hacha	1	1	1
zeehond	seal.png	foca.wav	foca	fregona	1	1	1
aansteker	lighter.png	mechero.wav	regla	mechero	2	1	1
ui	onion.png	cebolla.wav	mechero	cebolla	2	1	1
armband	bracelet.png	pulsera.wav	bandeja	pulsera	2	1	1
dweil	mop.png	fregona.wav	fregona	hongo	1	1	1
broekzak	pocket.png	bolsillo.wav	bolsillo	ciervo	1	1	1
paddenstoel	mushroom.png	hongo.wav	silla	hongo	2	1	1
dienblad	tray.png	bandeja.wav	bandeja	lápiz	1	1	1
potlood	pencil.png	lápiz.wav	lápiz	melocotón	1	1	1
haai	shark.png	tiburón.wav	ventana	tiburón	2	1	1
schommel	swing.png	columpio.wav	columpio	tiburón	1	1	2
mier	ant.png	hormiga.wav	alambrada	hormiga	2	1	2
worst	sausage.png	salchicha.wav	salchicha	foca	1	1	2
liniaal	ruler.png	regla.wav	cubo	regla	2	1	2
bijl	axe.png	hacha.wav	ciervo	hacha	2	1	2
hert	deer.png	ciervo.wav	ciervo	pulsera	1	1	2
stoel	chair.png	silla.wav	silla	mechero	1	1	2
raam	window.png	ventana.wav	hacha	ventana	2	1	2
hek	fence.png	alambrada.wav	fregona	alambrada	2	1	2
emmer	bucket.png	cubo.wav	cubo	ventana	1	1	2
bezem	broom.png	escoba.wav	bandeja	escoba	2	1	2
perzik	peach.png	melocotón.wav	melocotón	salchicha	1	1	2
stier	bull.png	toro.wav	bolsillo	toro	2	1	2
zeehond	seal.png	foca.wav	hongo	foca	2	1	2
aansteker	lighter.png	mechero.wav	mechero	columpio	1	1	2
ui	onion.png	cebolla.wav	regla	cebolla	2	1	2
armband	bracelet.png	pulsera.wav	lápiz	pulsera	2	1	2
dweil	mop.png	fregona.wav	fregona	silla	1	1	2
broekzak	pocket.png	bolsillo.wav	escoba	bolsillo	2	1	2
paddenstoel	mushroom.png	hongo.wav	cebolla	hongo	2	1	2
dienblad	tray.png	bandeja.wav	bandeja	melocotón	1	1	2
potlood	pencil.png	lápiz.wav	lápiz	hormiga	1	1	2
haai	shark.png	tiburón.wav	tiburón	toro	1	1	2
