Item	Picture	Audio_Spanish	Label1	Label2	RespCode	Condition	Block	
kikker	frog.png	rana.wav	ajo	rana	2	1	1
portemonnee	wallet.png	cartera.wav	plancha	cartera	2	1	1
beha	bra.png	sujetador.wav	sujetador	ladrillo	1	1	1
fluit	whistle.png	silbato.wav	canasta	silbato	2	1	1
slak	snail.png	caracol.wav	hoja	caracol	2	1	1
strijkijzer	iron.png	plancha.wav	burro	plancha	2	1	1
ezel	donkey.png	burro.wav	burro	camarero	1	1	1
bot	bone.png	hueso.wav	tapa	hueso	2	1	1
pak	suit.png	traje.wav	traje	hueso	1	1	1
blad	leaf.png	hoja.wav	muñeca	hoja	2	1	1
kalkoen	turkey.png	pavo.wav	bufanda	pavo	2	1	1
pop	doll.png	muñeca.wav	tiza	muñeca	2	1	1
baksteen	brick.png	ladrillo.wav	ladrillo	pavo	1	1	1
krijt	chalk.png	tiza.wav	tiza	traje	1	1	1
ober	waiter.png	camarero.wav	silbato	camarero	2	1	1
eekhoorn	squirrel.png	ardilla.wav	cuchillo	ardilla	2	1	1
mand	basket.png	canasta.wav	sujetador	canasta	2	1	1
sjaal	scarf.png	bufanda.wav	bufanda	ardilla	1	1	1
stinkdier	skunk.png	mofeta.wav	mofeta	cartera	1	1	1
knoflook	garlic.png	ajo.wav	guante	ajo	2	1	1
mes	knife.png	cuchillo.wav	cuchillo	caracol	1	1	1
handschoen	glove.png	guante.wav	guante	mofeta	1	1	1
deksel	lid.png	tapa.wav	rana	tapa	2	1	1
kikker	frog.png	rana.wav	rana	guante	1	1	2
portemonnee	wallet.png	cartera.wav	burro	cartera	2	1	2
beha	bra.png	sujetador.wav	sujetador	pavo	1	1	2
fluit	whistle.png	silbato.wav	sujetador	silbato	2	1	2
slak	snail.png	caracol.wav	muñeca	caracol	2	1	2
strijkijzer	iron.png	plancha.wav	plancha	camarero	1	1	2
ezel	donkey.png	burro.wav	burro	silbato	1	1	2
bot	bone.png	hueso.wav	rana	hueso	2	1	2
pak	suit.png	traje.wav	tapa	traje	2	1	2
blad	leaf.png	hoja.wav	hoja	tiza	1	1	2
kalkoen	turkey.png	pavo.wav	ardilla	pavo	2	1	2
pop	doll.png	muñeca.wav	muñeca	traje	1	1	2
baksteen	brick.png	ladrillo.wav	bufanda	ladrillo	2	1	2
krijt	chalk.png	tiza.wav	hueso	tiza	2	1	2
ober	waiter.png	camarero.wav	camarero	canasta	1	1	2
eekhoorn	squirrel.png	ardilla.wav	caracol	ardilla	2	1	2
mand	basket.png	canasta.wav	ladrillo	canasta	2	1	2
sjaal	scarf.png	bufanda.wav	bufanda	cuchillo	1	1	2
stinkdier	skunk.png	mofeta.wav	plancha	mofeta	2	1	2
knoflook	garlic.png	ajo.wav	mofeta	ajo	2	1	2
mes	knife.png	cuchillo.wav	cuchillo	hoja	1	1	2
handschoen	glove.png	guante.wav	guante	cartera	1	1	2
deksel	lid.png	tapa.wav	tapa	ajo	1	1	2
