Block	Item	Span_Label	Picture	Audio_Spanish	Condition	
1	fluit	silbato	whistle.png	silbato.wav	1
1	krijt	tiza	chalk.png	tiza.wav	1
1	bijl	hacha	axe.png	hacha.wav	2
1	eekhoorn	ardilla	squirrel.png	ardilla.wav	1
1	baksteen	ladrillo	brick.png	ladrillo.wav	1
1	kalkoen	pavo	turkey.png	pavo.wav	1
1	bot	hueso	bone.png	hueso.wav	1
1	knoflook	ajo	garlic.png	ajo.wav	1
1	mier	hormiga	ant.png	hormiga.wav	2
1	kikker	rana	frog.png	rana.wav	1
1	emmer	cubo	bucket.png	cubo.wav	2
1	slak	caracol	snail.png	caracol.wav	1
1	strijkijzer	plancha	iron.png	plancha.wav	1
1	blad	hoja	leaf.png	hoja.wav	1
1	beha	sujetador	bra.png	sujetador.wav	1
1	bezem	escoba	broom.png	escoba.wav	2
1	pop	muñeca	doll.png	muñeca.wav	1
1	sjaal	bufanda	scarf.png	bufanda.wav	1
1	deksel	tapa	lid.png	tapa.wav	1
1	portemonnee	cartera	wallet.png	cartera.wav	1
1	mand	canasta	basket.png	canasta.wav	1
1	handschoen	guante	glove.png	guante.wav	1
1	armband	pulsera	bracelet.png	pulsera.wav	2
2	fluit	silbato	whistle.png	silbato.wav	1
2	krijt	tiza	chalk.png	tiza.wav	1
2	bijl	hacha	axe.png	hacha.wav	2
2	eekhoorn	ardilla	squirrel.png	ardilla.wav	1
2	baksteen	ladrillo	brick.png	ladrillo.wav	1
2	kalkoen	pavo	turkey.png	pavo.wav	1
2	bot	hueso	bone.png	hueso.wav	1
2	knoflook	ajo	garlic.png	ajo.wav	1
2	mier	hormiga	ant.png	hormiga.wav	2
2	kikker	rana	frog.png	rana.wav	1
2	emmer	cubo	bucket.png	cubo.wav	2
2	slak	caracol	snail.png	caracol.wav	1
2	strijkijzer	plancha	iron.png	plancha.wav	1
2	blad	hoja	leaf.png	hoja.wav	1
2	beha	sujetador	bra.png	sujetador.wav	1
2	bezem	escoba	broom.png	escoba.wav	2
2	pop	muñeca	doll.png	muñeca.wav	1
2	sjaal	bufanda	scarf.png	bufanda.wav	1
2	deksel	tapa	lid.png	tapa.wav	1
2	portemonnee	cartera	wallet.png	cartera.wav	1
2	mand	canasta	basket.png	canasta.wav	1
2	handschoen	guante	glove.png	guante.wav	1
2	armband	pulsera	bracelet.png	pulsera.wav	2
