Block	Item	Span_Label	Picture	Audio_Spanish	Condition	
1	hak	tacón	heel.png	tacón.wav	1
1	stier	toro	bull.png	toro.wav	1
1	armband	pulsera	bracelet.png	pulsera.wav	1
1	worst	salchicha	sausage.png	salchicha.wav	1
1	dweil	fregona	mop.png	fregona.wav	1
1	stoel	silla	chair.png	silla.wav	1
1	zeehond	foca	seal.png	foca.wav	1
1	broekzak	bolsillo	pocket.png	bolsillo.wav	1
1	hert	ciervo	deer.png	ciervo.wav	1
1	emmer	cubo	bucket.png	cubo.wav	1
1	stropdas	corbata	tie.png	corbata.wav	1
1	schommel	columpio	swing.png	columpio.wav	1
1	liniaal	regla	ruler.png	regla.wav	1
1	mier	hormiga	ant.png	hormiga.wav	1
1	jurk	vestido	dress.png	vestido.wav	1
1	bijl	hacha	axe.png	hacha.wav	1
1	bezem	escoba	broom.png	escoba.wav	1
1	haai	tiburón	shark.png	tiburón.wav	1
1	perzik	melocotón	peach.png	melocotón.wav	1
1	hek	alambrada	fence.png	alambrada.wav	1
1	dienblad	bandeja	tray.png	bandeja.wav	1
1	aansteker	mechero	lighter.png	mechero.wav	1
1	paddenstoel	hongo	mushroom.png	hongo.wav	1
Block	Item	Span_Label	Picture	Audio_Spanish	Condition	
1	ui	cebolla	onion.png	cebolla.wav	1
1	stier	toro	bull.png	toro.wav	1
1	armband	pulsera	bracelet.png	pulsera.wav	1
1	worst	salchicha	sausage.png	salchicha.wav	1
1	dweil	fregona	mop.png	fregona.wav	1
1	stoel	silla	chair.png	silla.wav	1
1	zeehond	foca	seal.png	foca.wav	1
1	broekzak	bolsillo	pocket.png	bolsillo.wav	1
1	hert	ciervo	deer.png	ciervo.wav	1
1	emmer	cubo	bucket.png	cubo.wav	1
1	potlood	lápiz	pencil.png	lápiz.wav	1
1	schommel	columpio	swing.png	columpio.wav	1
1	liniaal	regla	ruler.png	regla.wav	1
1	mier	hormiga	ant.png	hormiga.wav	1
1	raam	ventana	window.png	ventana.wav	1
1	bijl	hacha	axe.png	hacha.wav	1
1	bezem	escoba	broom.png	escoba.wav	1
1	haai	tiburón	shark.png	tiburón.wav	1
1	perzik	melocotón	peach.png	melocotón.wav	1
1	hek	alambrada	fence.png	alambrada.wav	1
1	dienblad	bandeja	tray.png	bandeja.wav	1
1	aansteker	mechero	lighter.png	mechero.wav	1
1	paddenstoel	hongo	mushroom.png	hongo.wav	1
