Block	Item	Span_Label	Picture	Audio_Spanish	Condition	Stem	
1	handschoen	guante	glove.png	guante.wav	2	guan___
1	krijt	tiza	chalk.png	tiza.wav	2	ti___
1	slak	caracol	snail.png	caracol.wav	2	ca___
1	kikker	rana	frog.png	rana.wav	2	ra___
1	emmer	cubo	bucket.png	cubo.wav	1	cu___
1	bezem	escoba	broom.png	escoba.wav	1	es___
1	bijl	hacha	axe.png	hacha.wav	1	ha___
1	kalkoen	pavo	turkey.png	pavo.wav	2	pa___
1	armband	pulsera	bracelet.png	pulsera.wav	1	pul___
1	eekhoorn	ardilla	squirrel.png	ardilla.wav	2	ar___
1	fluit	silbato	whistle.png	silbato.wav	2	sil___
1	pop	muñeca	doll.png	muñeca.wav	2	mu___
1	beha	sujetador	bra.png	sujetador.wav	2	su___
1	stoel	silla	chair.png	silla.wav	1	si___
1	strijkijzer	plancha	iron.png	plancha.wav	2	plan___
1	portemonnee	cartera	wallet.png	cartera.wav	2	car___
1	blad	hoja	leaf.png	hoja.wav	2	ho___
1	mand	canasta	basket.png	canasta.wav	2	ca___
1	deksel	tapa	lid.png	tapa.wav	2	ta___
1	stier	toro	bull.png	toro.wav	1	to___
1	mier	hormiga	ant.png	hormiga.wav	1	hor___
1	knoflook	ajo	garlic.png	ajo.wav	2	a___
1	baksteen	ladrillo	brick.png	ladrillo.wav	2	la___
2	handschoen	guante	glove.png	guante.wav	2	guan___
2	krijt	tiza	chalk.png	tiza.wav	2	ti___
2	slak	caracol	snail.png	caracol.wav	2	ca___
2	kikker	rana	frog.png	rana.wav	2	ra___
2	emmer	cubo	bucket.png	cubo.wav	1	cu___
2	bezem	escoba	broom.png	escoba.wav	1	es___
2	bijl	hacha	axe.png	hacha.wav	1	ha___
2	kalkoen	pavo	turkey.png	pavo.wav	2	pa___
2	armband	pulsera	bracelet.png	pulsera.wav	1	pul___
2	eekhoorn	ardilla	squirrel.png	ardilla.wav	2	ar___
2	fluit	silbato	whistle.png	silbato.wav	2	sil___
2	pop	muñeca	doll.png	muñeca.wav	2	mu___
2	beha	sujetador	bra.png	sujetador.wav	2	su___
2	stoel	silla	chair.png	silla.wav	1	si___
2	strijkijzer	plancha	iron.png	plancha.wav	2	plan___
2	portemonnee	cartera	wallet.png	cartera.wav	2	car___
2	blad	hoja	leaf.png	hoja.wav	2	ho___
2	mand	canasta	basket.png	canasta.wav	2	ca___
2	deksel	tapa	lid.png	tapa.wav	2	ta___
2	stier	toro	bull.png	toro.wav	1	to___
2	mier	hormiga	ant.png	hormiga.wav	1	hor___
2	knoflook	ajo	garlic.png	ajo.wav	2	a___
2	baksteen	ladrillo	brick.png	ladrillo.wav	2	la___
Block	Item	Span_Label	Picture	Audio_Spanish	Condition	Stem	
1	handschoen	guante	glove.png	guante.wav	2	guan___
1	krijt	tiza	chalk.png	tiza.wav	2	ti___
1	slak	caracol	snail.png	caracol.wav	2	ca___
1	kikker	rana	frog.png	rana.wav	2	ra___
1	emmer	cubo	bucket.png	cubo.wav	1	cu___
1	bezem	escoba	broom.png	escoba.wav	1	es___
1	bijl	hacha	axe.png	hacha.wav	1	ha___
1	kalkoen	pavo	turkey.png	pavo.wav	2	pa___
1	armband	pulsera	bracelet.png	pulsera.wav	1	pul___
1	eekhoorn	ardilla	squirrel.png	ardilla.wav	2	ar___
1	fluit	silbato	whistle.png	silbato.wav	2	sil___
1	pop	muñeca	doll.png	muñeca.wav	2	mu___
1	beha	sujetador	bra.png	sujetador.wav	2	su___
1	stoel	silla	chair.png	silla.wav	1	si___
1	strijkijzer	plancha	iron.png	plancha.wav	2	plan___
1	portemonnee	cartera	wallet.png	cartera.wav	2	car___
1	blad	hoja	leaf.png	hoja.wav	2	ho___
1	mand	canasta	basket.png	canasta.wav	2	ca___
1	deksel	tapa	lid.png	tapa.wav	2	ta___
1	stier	toro	bull.png	toro.wav	1	to___
1	mier	hormiga	ant.png	hormiga.wav	1	hor___
1	knoflook	ajo	garlic.png	ajo.wav	2	a___
1	baksteen	ladrillo	brick.png	ladrillo.wav	2	la___
2	handschoen	guante	glove.png	guante.wav	2	guan___
2	krijt	tiza	chalk.png	tiza.wav	2	ti___
2	slak	caracol	snail.png	caracol.wav	2	ca___
2	kikker	rana	frog.png	rana.wav	2	ra___
2	emmer	cubo	bucket.png	cubo.wav	1	cu___
2	bezem	escoba	broom.png	escoba.wav	1	es___
2	bijl	hacha	axe.png	hacha.wav	1	ha___
2	kalkoen	pavo	turkey.png	pavo.wav	2	pa___
2	armband	pulsera	bracelet.png	pulsera.wav	1	pul___
2	eekhoorn	ardilla	squirrel.png	ardilla.wav	2	ar___
2	fluit	silbato	whistle.png	silbato.wav	2	sil___
2	pop	muñeca	doll.png	muñeca.wav	2	mu___
2	beha	sujetador	bra.png	sujetador.wav	2	su___
2	stoel	silla	chair.png	silla.wav	1	si___
2	strijkijzer	plancha	iron.png	plancha.wav	2	plan___
2	portemonnee	cartera	wallet.png	cartera.wav	2	car___
2	blad	hoja	leaf.png	hoja.wav	2	ho___
2	mand	canasta	basket.png	canasta.wav	2	ca___
2	deksel	tapa	lid.png	tapa.wav	2	ta___
2	stier	toro	bull.png	toro.wav	1	to___
2	mier	hormiga	ant.png	hormiga.wav	1	hor___
2	knoflook	ajo	garlic.png	ajo.wav	2	a___
2	baksteen	ladrillo	brick.png	ladrillo.wav	2	la___
