Subject_nr	Trial_nr	Label	VoiceOnset	Unknown	Condition 
201	1	brick	489	1	2
201	2	pocket	626	0	1
201	3	frog	534	0	1
201	4	peach	877	1	1
201	5	wallet	360	1	1
201	6	chair	1207	0	2
201	7	whistle	537	1	2
201	8	drill	452	1	1
201	9	nurse	434	0	2
201	10	mushroom	184	1	1
201	11	whip	846	0	1
201	12	seal	1823	1	2
201	13	bowl	45	1	1
201	14	chalk	915	1	1
201	15	ruler	725	1	1
201	16	sausage	487	1	2
201	17	bracelet	588	0	1
201	18	bra	161	0	1
201	19	doll	962	1	2
201	20	tray	896	0	1
201	21	turkey	248	1	1
201	22	broom	1144	1	1
201	23	swing	1319	1	2
201	24	dice	153	1	2
201	25	fence	1398	0	1
201	26	squirrel	638	1	2
201	27	bucket	458	1	1
201	28	snail	701	0	2
201	29	glove	880	1	2
201	30	leaf	464	1	2
201	31	ant	1087	1	1
201	32	bull 	1771	1	2
201	33	mop	316	1	2
201	34	bone	569	1	2
201	35	axe	21	1	2
201	36	iron	256	1	1
201	37	coffin	696	1	1
201	38	basket	74	1	2
201	39	lid	316	1	1
201	40	scarf	1381	1	2
201	41	zipper	686	1	1
201	42	shark	461	1	2
201	43	garlic	582	1	1
201	44	shovel	356	1	2
201	45	deer	777	1	2
201	46	lighter	707	1	2
201	47	knife	894	1	3
201	48	can	1202	0	3
201	49	car	764	1	3
201	50	window	600	1	3
201	51	back	752	1	3
201	52	blanket	806	1	3
201	53	spoon	864	1	3
201	54	pillow	337	1	3
201	55	skunk	114	1	3
201	56	tie	611	1	3
201	57	snake	639	1	3
201	58	bird	59	1	3
201	59	chain	1501	1	3
201	60	watch	595	1	3
201	61	lightning	696	1	3
201	62	onion	1103	0	3
201	63	painting	333	1	3
201	64	sleeve	648	0	3
201	65	branch	377	0	3
201	66	dog	1871	0	3
201	67	rope	296	1	3
201	68	coat	834	1	3
201	69	skirt	110	0	3
201	70	monkey	144	1	3
201	71	mug	877	1	3
201	72	cage	1009	0	3
201	73	tree	277	1	3
201	74	lock	40	0	3
201	75	moustache	794	1	3
201	76	parrot	415	1	3
201	77	wave	377	1	3
201	78	wing	217	1	3
201	79	straw	255	1	3
201	80	arrow	583	1	3
201	81	leg	587	1	3
201	82	match	197	1	3
201	83	scar	147	1	3
201	84	horse	854	1	3
201	85	root	609	1	3
201	86	stork	794	1	3
201	87	bullet	154	0	3
201	88	candle	20	1	3
201	89	goal	175	1	3
201	90	cloud	315	1	3
201	91	chest	1675	1	3
201	92	wood	708	0	3
201	93	heel	524	1	3
201	94	donkey	608	1	3
201	95	suit	507	1	3
201	96	raccoon	427	1	3
201	97	waiter	698	0	3
201	98	key	564	1	3
201	99	pigeon	157	1	3
201	100	skull	362	1	3
201	101	pencil	658	0	3
201	102	belt	658	1	3
201	103	duck	658	1	3
201	104	dress	658	1	3
