English	Dutch	Spanish	Item	Cognate.Spanish.English	Cognate.Spanish.Dutch	Cognate.Dutch.English	Compound.Dutch	Compound.Spanish	Compound.English	Picture	Audio_Spanish	Stem_Eng	Stem_Dutch	Stem_Spa	Eng_Acc	Dutch_Acc	Final 	FreqNLCelexLog	FreqNLCelexMl	FreqENGCelexMl	FreqSubtlexNLLg	FreqSubtlexENGLg	WordLength_EN	WordLength_ES	Condition 
basket	mand	canasta	3	non-cognate	non-cognate	non-cognate	0	0	0	basket.png	canasta.wav	bas	m	ca			1	1.301	20	2	2.2765	4.16	2	3	1
bone	bot	hueso	1	non-cognate	non-cognate	non-cognate	0	0	0	bone.png	hueso.wav	b	b	hue	0.925	1	1	1.716	52	1	3.5947	3.15	1	2	1
bowl	kom	cuenco	0	non-cognate	non-cognate	non-cognate	0	0	0	bowl.png	cuenco.wav	b	k	cuen	0.75	0.666666667	1	15.315	34	10	5.0578	4.69	1	2	1
bra	beha	sujetador	1	non-cognate	non-cognate	non-cognate	0	0	0	bra.png	sujetador.wav	b	be	su	0.916666667	1	1	0.699	5	2	2.2577	3.65	1	4	1
brick	baksteen	ladrillo	3	non-cognate	non-cognate	non-cognate	1	0	0	brick.png	ladrillo.wav	b	b	la			1	0.699	5	19	1.9243	4.18	1	3	1
chalk	krijt	tiza	3	non-cognate	non-cognate	non-cognate	0	0	0	chalk.png	tiza.wav	ch	krijt	ti			1	0.7782	6	9	2.7143	3.87	1	2	1
dice	dobbelsteen	dado	1	non-cognate	non-cognate	non-cognate	1	0	0	dice.png	dado.wav	d	do	da	0.722222222	1	1	0.699	5	0	1.5051	3.71	1	2	1
doll	pop	muñeca	1	non-cognate	non-cognate	non-cognate	0	0	0	doll.png	muñeca.wav	d	p	mu	0.944444444	1	1	1.301	20	2	3.0195	4.07	1	3	1
drill	boor	taladro	3	non-cognate	non-cognate	non-cognate	0	0	0	drill.png	taladro.wav	d 	b	ta			1	0.301	2	9	2.1818	3.96	1	3	1
frog	kikker	rana	0	non-cognate	non-cognate	non-cognate	0	0	0	frog.png	rana.wav	f	kik	ra	0.875	0.95	1	0.9542	9	13	2.5575	4.05	1	2	1
garlic	knoflook	ajo	1	non-cognate	non-cognate	non-cognate	1	0	0	garlic.png	ajo.wav	gar	k	a	0.916666667	0.916666667	1	10.414	11	0	2.2856	4.45	2	2	1
glove	handschoen	guante	1	non-cognate	non-cognate	non-cognate	1	0	0	glove.png	guante.wav	g	h	guan	0.75	1	1	11.139	13	4	2.4669	3.81	1	2	1
iron	strijkijzer	plancha	1	non-cognate	non-cognate	non-cognate	1	0	0	iron.png	plancha.wav	i	s	plan	0.722222222	0.9	1	0	1	43	1.5051	4.52	2	2	1
leaf	blad	hoja	0	non-cognate	non-cognate	non-cognate	0	0	0	leaf.png	hoja.wav	l	b	ho	0.825	0.675	1	20.569	114	32	2.6884	4.29	1	2	1
lid	deksel	tapa	3	non-cognate	non-cognate	non-cognate	0	0	0	lid.png	tapa.wav	l	dek	ta			0	12.553	18	1	2.0682	4.16	1	2	1
nurse	verpleger	enfermera	1	non-cognate	non-cognate	non-cognate		0	0	nurse.png	enfermera.wav	n	ver	en	#N/A	#N/A	1	0.6021	4	50	2.0719	4.5	1	4	1
scarf	sjaal	bufanda	1	non-cognate	non-cognate	non-cognate	0	0	0	scarf.png	bufanda.wav	s	s	bu	0.861111111	0.972222222	1	1	10	4	2.3674	3.76	1	3	1
snail	slak	caracol	1	non-cognate	non-cognate	non-cognate	0	0	0	snail.png	caracol.wav	s	s	ca	0.833333333	1	1	0.699	5	0	2.0212	3.69	1	3	1
squirrel	eekhoorn	ardilla	1	non-cognate	non-cognate	non-cognate	1	0	0	squirrel.png	ardilla.wav	squir	eek	ar	0.9	1	1	0.4771	3	1	2.4249	3.94	2	3	1
turkey	kalkoen	pavo	1	non-cognate	non-cognate	non-cognate		0	0	turkey.png	pavo.wav	tur	kal	pa	#N/A	#N/A	1	0.4771	3	2	2.659	4.35	2	2	1
