English	Dutch	Spanish	Item	Cognate.Spanish.English	Cognate.Spanish.Dutch	Cognate.Dutch.English	Compound.Dutch	Compound.Spanish	Compound.English	Picture	Audio_Spanish	Stem_Eng	Stem_Dutch	Stem_Spa	Eng_Acc	Dutch_Acc	Final 	FreqNLCelexLog	FreqNLCelexMl	FreqENGCelexMl	FreqSubtlexNLLg	FreqSubtlexENGLg	Condition	Syllable_Spa
ruler	liniaal	regla	3	non-cognate	non-cognate	non-cognate	0	0	0	ruler.png	regla.wav	ru	li	re			1	0	1	7	1,3979	3,63	1	2
iron	strijkijzer	plancha	1	non-cognate	non-cognate	non-cognate	1	0	0	iron.png	plancha.wav	i	s	plan	0,722222222	0,9	1	0	1	43	1,5051	4,52	1	2
shovel	schep	pala	1	non-cognate	non-cognate	non-cognate	0	0	0	shovel.png	pala.wav	sho	sch	pa	0,75	0,9	1	0	1	3	2,3075	3,55	1	2
swing	schommel	columpio	1	non-cognate	non-cognate	non-cognate	0	0	0	swing.png	columpio.wav	s	schom	co	0,777777778	1	1	0,301	2	10	1,8451	4,46	1	4
coffin	doodskist	ataúd	1	non-cognate	non-cognate	non-cognate		0	0	coffin.png	ataúd.wav	cof	doods	ata	#N/A	#N/A	1	0,301	2	2	2,2175	3,82	1	3
straw	rietje	paja	1	non-cognate	non-cognate	non-cognate	0	0	0	straw.png	paja.wav	s	riet	pa	0,775	1	1	0,301	2	6	2,0607	4,17	1	2
seal	zeehond	foca	0	non-cognate	non-cognate	non-cognate		0	0	seal.png	foca.wav	s	zee	fo	#N/A	#N/A	1	0,301	2	2	1,415	4,28	1	2
drill	boor	taladro	3	non-cognate	non-cognate	non-cognate	0	0	0	drill.png	taladro.wav	d 	b	ta			1	0,301	2	9	2,1818	3,96	1	3
stork	ooievaar	cigüeña	1	non-cognate	non-cognate	non-cognate		0	0	stork.png	cigüeña.wav	s	ooi	ci	#N/A	#N/A	1	0,301	2	0	1,6435	2,87	1	3
mop	dweil	fregona	3	non-cognate	non-cognate	non-cognate	0	0	0	mop.png	fregona.wav	m	dw	fre			1	0,4771	3	2	1,8692	3,46	1	3
turkey	kalkoen	pavo	1	non-cognate	non-cognate	non-cognate		0	0	turkey.png	pavo.wav	tur	kal	pa	#N/A	#N/A	1	0,4771	3	2	2,659	4,35	1	2
squirrel	eekhoorn	ardilla	1	non-cognate	non-cognate	non-cognate	1	0	0	squirrel.png	ardilla.wav	squir	eek	ar	0,9	1	1	0,4771	3	1	2,4249	3,94	1	3
zipper	rits	cremallera	1	non-cognate	non-cognate	non-cognate	0	0	0	zipper.png	cremallera.wav	zip	r	cre	0,916666667	1	1	0,4771	3	0	2,2833	2,42	1	4
shark	haai	tiburón	1	non-cognate	non-cognate	non-cognate	0	0	0	shark.png	tiburón.wav	sh	h	ti	1	1	1	0,4771	3	1	2,617	4,17	1	3
nurse	verpleger	enfermera	1	non-cognate	non-cognate	non-cognate		0	0	nurse.png	enfermera.wav	n	ver	en	#N/A	#N/A	1	0,6021	4	50	2,0719	4,5	1	4
peach	perzik	melocotón	1	non-cognate	non-cognate	non-cognate	0	0	0	peach.png	melocotón.wav	p	per	me	0,775	0,85	1	0,6021	4	2	2,0043	3,62	1	4
snail	slak	caracol	1	non-cognate	non-cognate	non-cognate	0	0	0	snail.png	caracol.wav	s	s	ca	0,833333333	1	1	0,699	5	0	2,0212	3,69	1	3
wallet	portemonnee	cartera	1	non-cognate	non-cognate	non-cognate	0	0	0	wallet.png	cartera.wav	wal	por	car	0,925	0,975	1	0,699	5	2	2,7404	3,81	1	3
bracelet	armband	pulsera	1	non-cognate	non-cognate	non-cognate	1	0	0	bracelet.png	pulsera.wav	b	a	pul	0,833333333	0,944444444	1	0,699	5	2	2,4393	3,79	1	3
stamp	postzegel	sello	1	non-cognate	non-cognate	non-cognate	1	0	0	stamp.png	sello.wav	s	p	se	0,916666667	1	1	0,699	5	16	1,8692	4,2	1	2
bra	beha	sujetador	1	non-cognate	non-cognate	non-cognate	0	0	0	bra.png	sujetador.wav	b	be	su	0,916666667	1	1	0,699	5	2	2,2577	3,65	1	4
dice	dobbelsteen	dado	1	non-cognate	non-cognate	non-cognate	1	0	0	dice.png	dado.wav	d	do	da	0,722222222	1	1	0,699	5	0	1,5051	3,71	1	2
whistle	fluit	silbato	1	non-cognate	non-cognate	non-cognate	0	0	0	whistle.png	silbato.wav	w	f	sil	0,7	0,475	1	0,699	5	3	2,5105	4,25	1	3
tray	dienblad	bandeja	0	non-cognate	non-cognate	non-cognate		0	0	tray.png	bandeja.wav	t	dien	ban	#N/A	#N/A	1	0,699	5	4	1,7404	4,15	1	3
brick	baksteen	ladrillo	3	non-cognate	non-cognate	non-cognate	1	0	0	brick.png	ladrillo.wav	b	b	la			1	0,699	5	19	1,9243	4,18	1	3
tie	stropdas	corbata	1	non-cognate	non-cognate	non-cognate	1	0	0	tie.png	corbata.wav	t	s	cor	0,875	0,9	1	0,7782	6	12	2,2945	4,58	2	3
parrot	papegaai	loro	1	non-cognate	non-cognate	non-cognate	0	0	0	parrot.png	loro.wav	par	pa	lo	0,75	0,975	1	0,7782	6	2	2,1614	3,84	2	2
lighter	aansteker	mechero	1	non-cognate	non-cognate	non-cognate	0	0	0	lighter.png	mechero.wav	l	aan	me	0,875	1	1	0,7782	6	0	2,4031	4,13	2	3
chalk	krijt	tiza	3	non-cognate	non-cognate	non-cognate	0	0	0	chalk.png	tiza.wav	ch	krijt	ti			1	0,7782	6	9	2,7143	3,87	2	2
hat	muts	gorro	3	non-cognate	non-cognate	non-cognate	0	0	0	hat.png	gorro.wav	h	m	go			1	0,8451	7	35	2,2923	4,76	2	2
ant	mier	hormiga	1	non-cognate	non-cognate	non-cognate	0	0	0	ant.png	hormiga.wav	a	m	hor			1	0,8451	7	2	2,0492	3,95	2	3
deer	hert	ciervo	0	non-cognate	non-cognate	non-cognate		0	0	deer.png	ciervo.wav	d	h	cier	#N/A	#N/A	1	0,8451	7	2	2,4298	4,26	2	2
screw	schroef	navaja	3	non-cognate	non-cognate	non-cognate	0	0	0	screw.png	navaja.wav	s	sch	na			1	0,8451	7	5	1,9395	4,06	2	3
orange	sinaasappel	naranja	1	non-cognate	non-cognate	non-cognate	1	0	0	orange.png	naranja.wav	o	si	na	0,9	0,925	1	0,9031	8	4	1,8921	4,64	2	3
pocket	broekzak	bolsillo	1	non-cognate	non-cognate	non-cognate		0	0	pocket.png	bolsillo.wav	pock	broek	bol	#N/A	#N/A	1	0,9542	9	22	2,0682	4,63	2	3
whip	zweep	látigo	0	non-cognate	non-cognate	non-cognate	0	0	0	whip.png	látigo.wav	w	z	lá	#N/A	#N/A	1	0,9542	9	10	2,3304	4,08	2	3
