,mand,bot,kom,beha,baksteen,krijt,dobbelsteen,pop,boor,kikker,knoflook,handschoen,strijkijzer,blad,deksel,verpleger,sjaal,slak,eekhoorn,kalkoen,portemonnee,zweep,fluit,mier,bijl,armband,bezem,emmer,stier,stoel,doodskist,hert,hek,aansteker,dweil,paddenstoel,perzik,broekzak,liniaal,worst,zeehond,haai,schep,schommel,dienblad,rits,pijl,rug,riem,vogel,deken,tak,kogel,kooi,blik,kaars,auto,ketting,borst,wolk,jas,hond,ezel,jurk,eend,doel,hak,paard,sleutel,mes,been,bliksem,slot,lucifer,aap,snor,kopje,ui,schilderij,papegaai,potlood,duif,kussen,wasbeer,wortel,touw,litteken,rok,schedel,stinkdier,mouw,slang,lepel,ooievaar,rietje,pak,stropdas,boom,ober,horloge,golf,raam,vleugel,hout
mand,1.78813934326e-07,0.825063347816,0.736638188362,0.88567763567,0.785408556461,0.947067022324,0.701100945473,0.83645427227,0.922105312347,0.801930308342,0.810362458229,0.85046762228,0.773130774498,0.905585885048,0.773222446442,0.975066006184,0.90090316534,0.815698266029,0.745345473289,0.746601104736,0.880919694901,0.860780596733,0.723165392876,0.802698493004,0.913834095001,0.888142943382,0.785179257393,0.776848196983,0.995642542839,0.790533423424,0.810185551643,0.984776079655,0.994187653065,0.795365929604,0.742633700371,0.763200998306,0.78715544939,0.850476861,0.873134732246,0.841906249523,0.802559137344,0.800577521324,0.851614713669,0.838636994362,0.681835651398,0.859183192253,0.929975390434,0.900433719158,0.900215983391,0.713411390781,0.788069725037,0.78313934803,0.924602508545,0.747972011566,0.929635047913,0.894659340382,0.816252470016,0.830228209496,0.937762975693,0.930531799793,0.777009308338,0.849936485291,0.830991029739,0.77371430397,0.743621706963,1.03977322578,0.82243925333,0.828366696835,0.765030622482,0.862953901291,0.795448005199,0.83125436306,0.878828644753,0.798098146915,0.848068475723,0.823662698269,0.915243983269,0.811409175396,0.834973752499,0.753183364868,0.832915484905,0.778466761112,0.870722234249,0.83967757225,0.994485557079,0.7949026227,0.945061028004,0.880146145821,0.903330385685,0.785985767841,0.827705264091,0.879909098148,0.840882360935,0.852355122566,0.825387060642,0.752041399479,0.883998692036,0.691240608692,0.768836200237,0.830042600632,0.967415630817,0.786736726761,0.903683304787,0.894439697266
bot,0.825063347816,0.0,0.772941172123,0.791587889194,0.758411765099,0.859556674957,0.923603534698,0.853597223759,0.651335895061,0.828557372093,0.903701841831,0.759558796883,0.745669126511,0.784014523029,0.779143691063,0.892311573029,0.900445997715,0.747779011726,0.769750475883,0.665815353394,0.829355955124,0.882505357265,0.885435223579,0.765619933605,0.746626496315,0.818409025669,0.907065629959,0.836036622524,0.792847275734,0.870316028595,0.754061043262,0.741153895855,0.854101479053,0.831505060196,0.786929130554,0.760744154453,0.795631289482,0.886187255383,0.773053884506,0.850876569748,0.657678723335,0.604759454727,0.827541470528,0.874223411083,0.800181627274,0.887573122978,0.832527935505,0.774177074432,0.774782061577,0.738418757915,0.848884344101,0.863218784332,0.638051331043,0.803002595901,0.749312639236,0.81428694725,0.895166277885,0.760229945183,0.678859770298,0.871654391289,0.82958650589,0.722757220268,0.880718290806,0.854633271694,0.720586776733,0.903843283653,0.729758143425,0.904266834259,0.813914120197,0.601879417896,0.645556330681,0.967961788177,0.800331473351,0.771467149258,0.824100732803,0.907044649124,0.889693379402,0.842243790627,0.894297599792,0.719536006451,0.86116039753,0.872320950031,0.814066231251,0.646243333817,0.905813574791,0.747935533524,0.601141214371,0.875905573368,0.539701938629,0.660179913044,0.872739911079,0.700529515743,0.6727232337,0.948392271996,0.756990373135,0.789110183716,0.892476439476,0.739778399467,0.927919685841,0.753835141659,0.868106722832,0.803744673729,0.779183447361,0.760859668255
kom,0.736638188362,0.772941172123,-1.19209289551e-07,0.746357858181,1.00865876675,0.758288860321,0.8258497715,0.749929487705,0.751269161701,0.813642144203,0.795787334442,0.825308978558,0.686797320843,0.908368229866,0.823804676533,0.763860285282,0.79108607769,0.796171724796,0.73764359951,0.693213641644,0.66059756279,0.760280251503,0.751786530018,0.758253455162,0.772362709045,0.810717940331,0.676703333855,0.699870347977,0.767753720284,0.711342334747,0.783460378647,0.829516887665,0.636402845383,0.623350739479,0.625828742981,0.898266673088,0.733904004097,0.782881200314,0.836982607841,0.815028846264,0.759319067001,0.699947357178,0.687723517418,0.740502476692,0.666424691677,0.816972672939,0.82784485817,0.678299546242,0.752390027046,0.713750481606,0.719484090805,0.817310154438,0.759287595749,0.717880666256,0.801471710205,0.754455327988,0.597658634186,0.787268519402,0.716811299324,0.817621350288,0.595677852631,0.657860040665,0.749083340168,0.666278839111,0.774714648724,0.785557389259,0.724558532238,0.671241819859,0.599113762379,0.676730275154,0.675976753235,0.823021769524,0.613976478577,0.708277583122,0.650368332863,0.840778291225,0.723216831684,0.795963346958,0.743289709091,0.797319054604,0.771289646626,0.881907939911,0.659509778023,0.704945683479,0.891653835773,0.625032246113,0.789281785488,0.759439527988,0.765579938889,0.593991577625,0.876638650894,0.699661850929,0.688241004944,0.885434150696,0.661779165268,0.31290858984,0.804974675179,0.717597663403,0.719447374344,0.733335375786,0.817470431328,0.58823132515,0.88210272789,0.801158547401
beha,0.88567763567,0.791587889194,0.746357858181,0.0,0.811715006828,0.998422443867,0.853643536568,0.710187494755,0.850324869156,0.910498917103,0.84109556675,0.703770399094,0.699048519135,0.802638053894,0.857401609421,0.845755159855,0.660349726677,0.800841629505,0.945895314217,0.835488379002,0.726163625717,0.978166460991,0.89389103651,0.878860414028,0.862911105156,0.669886291027,0.826893031597,0.862668037415,0.922088682652,0.713933587074,0.928290903568,1.00473117828,0.973751544952,0.734723210335,0.646172642708,0.849086642265,0.882296025753,0.830989718437,0.769458472729,0.878164947033,0.874812483788,0.808925747871,0.925202012062,0.689313173294,0.64954161644,0.761997163296,0.887630164623,0.721674442291,0.720433175564,0.896958947182,0.731635928154,0.917917430401,0.770610928535,0.901694417,0.87443703413,0.844625592232,0.719534158707,0.679887056351,0.638299047947,0.89923864603,0.654868960381,0.86905258894,0.841583311558,0.429543673992,0.973339617252,0.959250152111,0.765666544437,0.857432663441,0.822329044342,0.718185544014,0.727991580963,1.04336369038,0.895827770233,0.901997327805,0.812814354897,0.768938660622,0.919846236706,0.892277300358,0.837492585182,0.872090101242,0.797887086868,0.968788325787,0.664431512356,0.976295590401,0.889781236649,0.730570554733,0.723204731941,0.554528474808,0.790499329567,0.702557384968,0.743910014629,0.827885448933,0.838495373726,0.955894887447,0.740076959133,0.706396460533,0.625152528286,0.8633056283,0.767541825771,0.709925889969,0.855244398117,0.819328486919,0.904669225216,0.937462389469
baksteen,0.785408556461,0.758411765099,1.00865876675,0.811715006828,1.19209289551e-07,0.995624482632,0.859375238419,0.892221868038,0.808555483818,0.920935153961,0.920283854008,0.867478251457,0.894145488739,0.943450927734,0.801984906197,0.937121152878,0.978704631329,0.801044106483,0.964523255825,0.872374594212,0.809074163437,0.949660301208,0.897038817406,0.966567754745,0.834958195686,0.971911489964,0.856298863888,0.866065382957,0.889191567898,0.845050156116,0.781305611134,1.01437008381,1.00392627716,0.836829185486,0.855145454407,0.838337779045,0.876021444798,0.904068231583,0.879304289818,0.899577498436,0.934413969517,0.899096548557,0.824844837189,0.782186865807,0.830032527447,0.976761758327,0.822397172451,0.866095662117,0.95882332325,0.878760933876,0.862027227879,0.937725782394,0.866866767406,0.904912412167,0.99194586277,0.830521821976,0.918373644352,0.86990571022,0.902562499046,0.998577237129,0.86357396841,0.893317580223,0.997657477856,0.81843495369,0.934690594673,1.06859505177,0.969656348228,0.959143280983,0.887543678284,0.837272703648,0.814763247967,0.95885014534,0.889893531799,0.767668008804,0.94905090332,0.888029754162,0.999934971333,0.950037479401,0.950195908546,1.01525354385,0.853288829327,0.889771521091,0.914006710052,0.933869957924,0.913151860237,0.92452442646,0.803354799747,0.94419169426,0.77629250288,0.883497476578,0.955476164818,0.877428591251,0.871973335743,1.00204086304,0.86110830307,0.891436100006,0.929775476456,0.848737955093,0.943125367165,0.922513008118,0.948679566383,0.838705182076,0.897908985615,0.796174764633
krijt,0.947067022324,0.859556674957,0.758288860321,0.998422443867,0.995624482632,0.0,0.892693281174,0.824087202549,0.813757121563,0.822625756264,0.918980538845,1.01088607311,0.905247449875,0.797386944294,0.933608710766,0.911807537079,0.919584035873,0.909870445728,0.855751931667,0.822008609772,0.862158834934,0.955822587013,0.932379424572,0.832021713257,0.803521037102,0.892898619175,0.919351816177,0.849986255169,0.830718755722,0.829798877239,0.895057916641,0.900429785252,0.83710193634,0.835765361786,0.841204226017,0.902091920376,0.901330590248,0.803089380264,0.903548240662,0.919059634209,0.923099637032,0.843298375607,0.86098921299,0.886654913425,0.817617118359,0.917790651321,0.770094156265,0.797483146191,0.871841788292,0.770565748215,0.908730208874,0.886043846607,0.832494795322,0.859492182732,0.908275008202,0.888346493244,0.894030809402,0.854155480862,0.887632250786,0.917983531952,0.779923319817,0.863715171814,0.820481598377,0.869974732399,0.831140875816,0.891674816608,0.85694205761,0.792776703835,0.838578283787,0.824629187584,0.887333750725,0.94527053833,0.810767829418,0.926989257336,0.797639667988,0.889117658138,0.883357822895,1.00789296627,0.791854679585,0.779183804989,0.751569151878,0.912101507187,0.906642973423,0.798716545105,0.901110351086,0.860349357128,0.904588639736,0.868873596191,0.86557507515,0.924460887909,0.95789450407,0.690968513489,0.733878850937,0.952753126621,0.871028184891,0.753767073154,0.909029722214,0.853031814098,0.898692965508,0.832557320595,0.922520935535,0.783125579357,0.84959423542,0.867087483406
dobbelsteen,0.701100945473,0.923603534698,0.8258497715,0.853643536568,0.859375238419,0.892693281174,0.0,0.774687409401,0.814978420734,0.815015137196,0.837239861488,0.714704215527,0.763202011585,0.963274598122,0.812394618988,1.00094842911,0.844249546528,0.766716718674,0.781375944614,0.847579777241,0.905881166458,0.802828669548,0.762896537781,0.811573445797,0.843682765961,0.869338214397,0.817366719246,0.732582628727,0.929439425468,0.821767449379,0.747252583504,0.860194921494,0.955817937851,0.783483624458,0.749105930328,0.884283661842,0.781004428864,0.899046897888,0.766970217228,0.793366253376,0.94275611639,0.892844319344,0.849486351013,0.802785515785,0.673761188984,0.885221600533,0.858053207397,0.919875741005,1.02825129032,0.774596273899,0.902177214622,0.900393724442,0.879169583321,0.770628333092,0.70005941391,0.795711636543,0.872809290886,0.903905451298,0.923799455166,0.88220757246,0.85397362709,0.902685880661,0.823618650436,0.803754866123,0.790735960007,0.790541768074,0.837457120419,0.860423922539,0.784521222115,0.942227482796,0.93671643734,0.834468483925,0.857889652252,0.767973423004,0.83571767807,0.863446235657,0.938896715641,0.826385915279,0.867080390453,0.834984898567,0.819943666458,0.79090076685,0.892959117889,0.920837461948,0.738293468952,0.878635406494,0.916310310364,0.904914855957,0.833027124405,0.794620513916,0.902832388878,0.901680231094,0.741020917892,0.916998386383,0.77734452486,0.790998578072,0.896524846554,0.766351461411,0.806323587894,0.773044168949,0.859335720539,0.829172372818,0.878756165504,0.909317314625
pop,0.83645427227,0.853597223759,0.749929487705,0.710187494755,0.892221868038,0.824087202549,0.774687409401,1.19209289551e-07,0.848836541176,0.845551609993,0.880687355995,0.780090451241,0.740880250931,0.79979634285,0.796166658401,0.906044960022,0.868155539036,0.791655540466,0.759060382843,0.734453499317,0.788602650166,0.980250537395,0.869007349014,0.81767475605,0.789047062397,0.790104210377,0.850720763206,0.871150135994,0.829078614712,0.677575945854,0.789792776108,0.926788032055,0.73222643137,0.717325687408,0.799234926701,0.840451300144,0.873973727226,0.905015230179,0.886826038361,0.806686401367,0.872645556927,0.839760065079,0.877850115299,0.707415223122,0.837829470634,0.911035716534,0.86634939909,0.854153871536,0.787807583809,0.85438734293,0.749648690224,0.848679423332,0.8330732584,0.774862349033,0.808150410652,0.841405272484,0.731321454048,0.719966888428,0.738283991814,0.813640475273,0.786458969116,0.705995321274,0.729752659798,0.713542342186,0.84496897459,0.89716231823,0.785245060921,0.73205024004,0.783763289452,0.737695872784,0.844506680965,0.876216709614,0.817631244659,0.85039037466,0.737228214741,0.948038637638,0.864848971367,0.998487770557,0.788312554359,0.836222410202,0.748477220535,0.777837336063,0.744269609451,0.805004656315,0.900253891945,0.836018979549,0.775545716286,0.850007236004,0.758486509323,0.70664191246,0.865974187851,0.814277768135,0.716954231262,0.869635820389,0.755300343037,0.758635044098,0.829529225826,0.776085138321,0.882336199284,0.828132927418,0.876908838749,0.683587431908,0.906747460365,0.780521214008
boor,0.922105312347,0.651335895061,0.751269161701,0.850324869156,0.808555483818,0.813757121563,0.814978420734,0.848836541176,1.19209289551e-07,0.868808507919,0.839958071709,0.735098719597,0.61117297411,0.86394906044,0.676694273949,0.816713988781,0.900354504585,0.682136893272,0.896787643433,0.908643782139,0.753811478615,0.7691385746,0.879485785961,0.771963834763,0.768462955952,0.787146806717,0.783180117607,0.644904494286,0.86760866642,0.701917886734,0.661750137806,0.910816907883,0.817049980164,0.713391840458,0.620507836342,0.833400130272,0.91114038229,0.805457055569,0.617239952087,0.990927159786,0.897264719009,0.779982984066,0.752403616905,0.750653624535,0.805698394775,0.906194210052,0.814572155476,0.818800985813,0.826535880566,0.928128123283,0.763209223747,0.87464505434,0.595340013504,0.725789904594,0.910512328148,0.773702383041,0.715904295444,0.736721396446,0.638867139816,0.885209023952,0.863052368164,0.838401198387,0.858289480209,0.905882358551,0.881629884243,0.864160180092,0.846245408058,0.865744292736,0.704028427601,0.680671691895,0.663605630398,0.763234198093,0.756845712662,0.695032954216,0.887600123882,0.857442855835,0.825659036636,0.827516436577,0.903132200241,0.904045939445,0.698767662048,0.936569333076,0.773565471172,0.801745772362,0.858479976654,0.687520861626,0.775642752647,0.940218031406,0.540805578232,0.697937786579,0.866655409336,0.589392781258,0.674862384796,1.10076737404,0.627189159393,0.678520083427,0.950066268444,0.890624880791,1.01416254044,0.775370001793,0.788778662682,0.745328307152,0.761576116085,0.728430271149
kikker,0.801930308342,0.828557372093,0.813642144203,0.910498917103,0.920935153961,0.822625756264,0.815015137196,0.845551609993,0.868808507919,0.0,0.787708103657,0.874910891056,0.808954536915,0.898461818695,0.836719214916,0.901023745537,0.891829371452,0.552674293518,0.614009082317,0.795503616333,0.859136521816,0.872324705124,0.787200093269,0.607535660267,0.869657516479,0.941851139069,0.793073654175,0.82374638319,0.790084958076,0.830872833729,0.893931150436,0.712949991226,0.840358734131,0.828147172928,0.777974486351,0.658134698868,0.758900284767,0.874603509903,0.853882074356,0.813373625278,0.655214726925,0.657977104187,0.898660898209,0.872061491013,0.814142465591,0.775194108486,0.858551204205,0.850134372711,0.909266710281,0.608915567398,0.824540138245,0.768178761005,0.922757565975,0.670926749706,0.895240962505,0.817445933819,0.857006669044,0.820950448513,0.806472957134,0.85624229908,0.827336668968,0.700510859489,0.724850177765,0.833374738693,0.683408439159,0.990495622158,0.873989582062,0.797714293003,0.808517575264,0.851352512836,0.985788345337,0.864385485649,0.881378233433,0.741610109806,0.636287927628,0.761165440083,0.853618383408,0.811158418655,0.872170746326,0.637274384499,0.844587445259,0.738503694534,0.797559559345,0.567396640778,0.806425571442,0.88653242588,0.980326294899,0.907444059849,0.953548192978,0.576292872429,0.90870565176,0.643267154694,0.78284496069,0.627664446831,0.855939984322,0.842828392982,0.837455511093,0.77771538496,0.857705175877,0.909891009331,0.947995185852,0.799826860428,0.87347561121,0.907517671585
