,liniaal,strijkijzer,schep,schommel,doodskist,rietje,zeehond,boor,ooievaar,dweil,kalkoen,eekhoorn,rits,haai,verpleger,perzik,slak,portemonnee,armband,postzegel,beha,dobbelsteen,fluit,dienblad,baksteen,stropdas,papegaai,aansteker,krijt,muts,mier,hert,schroef,sinaasappel,broekzak,zweep,kikker,sjaal,spijker,trommel,pop,ketting,mand,paddenstoel,bot,stier,brug,stoel,knoflook,worst,bijl,kool,ezel,potlood,hak,bliksem,handschoen,ober,munt,lucifer,pijl,snor,vlieg,ui,lepel,schedel,riem,emmer,kooi,kaars,eend,mouw,kussen,kogel,struik,duim,rok,deken,kom,horloge,touw,wortel,wortel,vleugel,schilderij,mes,gevangenis,kopje,hout,wolk,golf,rechter,blad,boom,paard,doel,raam,been,rug,kerk,wasbeer,stinkdier,snoep,bezem,kers,schildpad,schaar,onderbroek,krukken,spin,aap,scherm,druiven,sla,oor,afval,litteken,zeeman,tepel,naald,deksel,duif,cadeau,slang,hek,bril,vuist,tas,jurk,kast,sleutel,jas,strand,spiegel,tak,pak,ei,slot,vlees,vogel,borst,hond,blik,auto,meisje,jongen,vrouw
liniaal,0.0,0.692549586296,0.943390965462,0.723207652569,0.795334458351,0.786529183388,0.901009380817,0.617239952087,0.852967083454,0.776158809662,0.932410895824,0.783364653587,0.795429170132,0.80956953764,0.983721852303,0.843839049339,0.766206502914,0.893445193768,0.805650830269,0.814566493034,0.769458472729,0.766970217228,0.795379400253,0.729117631912,0.879304289818,0.819804430008,0.794284701347,0.846658885479,0.903548240662,0.771712720394,0.768161177635,0.89095801115,0.672318518162,0.813789665699,0.675077557564,0.877499461174,0.853882074356,0.815024256706,0.693635702133,0.713015198708,0.886826038361,0.813919663429,0.873134732246,0.738702654839,0.773053884506,0.844099342823,0.805903434753,0.776319086552,0.832061648369,0.909603238106,0.808064997196,1.02413225174,0.783092021942,0.609331965446,0.829568088055,0.930637955666,0.806351602077,0.870003819466,0.89340621233,0.896156668663,0.802414834499,0.719353556633,0.940748631954,0.835427522659,0.725909292698,0.646269321442,0.857002258301,0.770951330662,0.861254692078,0.894980251789,0.868466615677,0.776833117008,0.805282711983,0.757590055466,0.893580794334,0.759629547596,0.764174878597,0.869803249836,0.836982607841,0.817874908447,0.782571911812,0.773216545582,0.773216545582,0.875733733177,0.84964966774,0.730758070946,0.921295583248,0.965744912624,0.871491253376,0.941346287727,0.930507719517,0.839630544186,0.809647917747,0.85585975647,0.814595460892,0.881963729858,0.889718055725,0.792671144009,0.800476551056,0.99773734808,0.852882683277,0.748166680336,0.897923469543,0.803567767143,1.03782856464,0.842943668365,0.604353666306,0.732072651386,0.796401202679,0.910451471806,0.786425471306,0.825782299042,0.913654386997,0.824066638947,0.78341293335,0.919271588326,0.767825603485,0.936581909657,0.718880057335,0.743949055672,0.800045490265,0.772161006927,0.883672535419,0.817543506622,0.858444333076,0.714346766472,0.762150764465,0.813950538635,0.866098761559,0.791605949402,0.839292943478,0.832785844803,0.936407446861,0.81491547823,0.945030272007,0.773965716362,0.863601565361,0.910166800022,0.845768153667,0.873050689697,0.750036478043,0.839453160763,0.865349590778,0.878423035145,0.870246767998,0.788496136665,0.927335441113
strijkijzer,0.692549586296,5.96046447754e-08,0.857539892197,0.740290760994,0.667532801628,0.632240772247,0.879514575005,0.61117297411,1.00644433498,0.506137251854,0.75169044733,0.842385530472,0.679919600487,0.845876157284,0.821124911308,0.826560378075,0.683463931084,0.666823267937,0.693715274334,0.759996771812,0.699048519135,0.763202011585,0.746850430965,0.637961864471,0.894145488739,0.71216160059,0.715572416782,0.501891613007,0.905247449875,0.70822262764,0.848847150803,0.922457993031,0.60711479187,0.826111078262,0.623443722725,0.825359463692,0.808954536915,0.64427614212,0.739076375961,0.620256245136,0.740880250931,0.764676690102,0.773130774498,0.802846193314,0.745669126511,0.883943915367,0.846274614334,0.572111845016,0.88267326355,0.785059928894,0.726675152779,0.89704656601,0.764094114304,0.642924785614,0.736639857292,0.702441215515,0.68380689621,0.732453763485,0.867937862873,0.623763203621,0.836334824562,0.739470422268,0.76368200779,0.922185242176,0.674355268478,0.714038550854,0.656390190125,0.679466366768,0.827399253845,0.611686229706,0.755691885948,0.765415132046,0.646314561367,0.700101017952,0.863270938396,0.729349732399,0.742880582809,0.629841566086,0.686797320843,0.685426175594,0.646686077118,0.960574567318,0.960574567318,0.858681559563,0.817195057869,0.660446345806,0.967430174351,0.740254819393,0.651317477226,0.838671386242,0.870585083961,0.86416131258,0.754309654236,0.758291482925,0.855378031731,0.952601373196,0.651537179947,0.696125745773,0.708702802658,0.872777104378,0.894491910934,0.641719818115,0.797021985054,0.686165094376,0.978665292263,0.845321059227,0.515569329262,0.654401063919,0.752358496189,0.817081928253,0.83883535862,0.801025986671,0.956989467144,0.738132178783,0.756042003632,0.843451976776,0.811060786247,0.909870445728,0.741397976875,0.743664622307,0.700927138329,0.829918861389,0.70548760891,0.744551420212,0.782305538654,0.649722695351,0.8302718997,0.627363920212,0.705126881599,0.665989160538,0.727102637291,0.607683420181,0.829548299313,0.779741168022,0.812303364277,0.60455930233,0.885990738869,0.760326325893,0.76056265831,0.825654685497,0.71493858099,0.752710819244,0.840734183788,0.688520908356,0.780294418335,0.782196521759,0.716244220734
schep,0.943390965462,0.857539892197,1.78813934326e-07,0.84255361557,0.81331384182,0.788556694984,0.978688955307,0.752403616905,1.10082232952,0.736173510551,0.733544230461,0.861734032631,0.995537936687,0.868747115135,0.987393438816,0.897766411304,0.736776471138,0.794235169888,0.929518818855,0.938638746738,0.925202012062,0.849486351013,0.868043065071,0.78349506855,0.824844837189,0.882084548473,1.01061713696,0.805792570114,0.86098921299,0.883204340935,0.84730887413,1.09572005272,0.730426907539,0.726185202599,0.870605111122,0.868009328842,0.898660898209,0.970418572426,0.802736401558,0.807011365891,0.877850115299,0.803576529026,0.851614713669,0.882911741734,0.827541470528,0.914254844189,0.874767899513,0.920259892941,0.684826850891,0.769344747066,0.746234834194,0.816544353962,0.902457177639,0.871066153049,0.676130175591,1.05022525787,0.94258248806,0.805085301399,0.811232328415,0.818469047546,0.978465020657,0.940591156483,0.848930597305,0.692685902119,0.587234139442,0.83590233326,0.841278195381,0.773643553257,0.953147649765,0.850281059742,0.795804142952,0.917157053947,0.874945402145,0.927935838699,0.872943460941,0.966531991959,0.959686636925,0.922512590885,0.687723517418,0.877900838852,0.762240767479,0.81847423315,0.81847423315,0.933437228203,0.972062349319,0.792460262775,0.880735635757,0.886294007301,0.833684742451,0.930135905743,0.974851965904,1.00821852684,0.940220415592,0.823795318604,0.963942289352,0.957127273083,0.946590006351,0.858250021935,0.882972180843,0.979465723038,0.971093356609,0.86327958107,0.933823168278,0.881391823292,0.767312288284,0.911817789078,0.766779184341,0.862173080444,1.06305873394,0.986389398575,0.891898334026,1.00870382786,0.956567585468,0.678736150265,0.849155426025,0.786399662495,0.89372086525,0.849443376064,0.860916018486,0.855199098587,0.686957240105,0.965637922287,0.783591270447,0.854804039001,0.880106389523,0.913769483566,0.903282642365,0.848140001297,0.91126704216,0.889073371887,0.774345815182,0.903285264969,0.804188072681,0.961175084114,0.884577691555,0.732353448868,0.851572930813,0.818740308285,0.814488887787,0.8939691782,0.872375547886,0.956244945526,0.958766460419,0.839356780052,0.966888487339,0.894133210182,0.915898084641
schommel,0.723207652569,0.740290760994,0.84255361557,0.0,0.793468177319,0.745691537857,0.767760872841,0.750653624535,0.769660890102,0.743123173714,0.800751268864,0.816935062408,0.878811836243,0.873120844364,0.942053198814,0.895064234734,0.771460056305,0.93864351511,0.886010348797,0.933859467506,0.689313173294,0.802785515785,0.828720271587,0.733858466148,0.782186865807,0.867220044136,0.849258601665,0.761579036713,0.886654913425,0.744872629642,0.678047716618,0.834812283516,0.67772847414,0.878703057766,0.795283317566,0.906704962254,0.872061491013,0.798517584801,0.809407889843,0.765074908733,0.707415223122,0.771268248558,0.838636994362,0.779990673065,0.874223411083,0.865787446499,0.842172145844,0.69379234314,0.910361289978,0.90487998724,0.828369498253,0.964056670666,0.773635447025,0.824035942554,0.831577301025,0.890589177608,0.880652844906,0.919565677643,0.915380060673,0.950649499893,0.898584902287,0.754011273384,0.853966891766,0.940152466297,0.798931717873,0.879437506199,0.864437282085,0.691554427147,0.784078478813,0.780820190907,0.828164696693,0.816931843758,0.812025785446,0.907250404358,0.76329267025,0.8920545578,0.799419403076,0.795166730881,0.740502476692,0.90986764431,0.688012838364,0.815775573254,0.815775573254,0.793953537941,0.877604186535,0.841664969921,0.882942378521,0.873542606831,0.769225716591,0.799031257629,0.83176535368,1.0413351059,0.934203386307,0.611943781376,0.82249212265,0.965281426907,0.715543329716,0.740166902542,0.803366243839,0.904490709305,0.830942094326,0.761724770069,0.772799313068,0.754050552845,0.896643877029,0.682991564274,0.744738221169,0.677823066711,0.728331923485,0.816696047783,0.786083638668,0.822350144386,0.986772358418,0.874016702175,0.793814182281,0.935607194901,0.817540407181,0.947241306305,0.73751860857,0.873681485653,0.872834861279,0.897694408894,0.752754330635,0.804991066456,0.745471656322,0.842049241066,0.80780684948,0.850174307823,0.741498351097,0.735541462898,0.867603123188,0.810205817223,0.775157809258,0.87554782629,0.855791151524,0.753029108047,0.874041557312,0.82146936655,0.956971347332,0.872931361198,0.870730757713,0.768017530441,0.885696053505,0.876787364483,0.762979626656,0.694258511066,0.880479097366
doodskist,0.795334458351,0.667532801628,0.81331384182,0.793468177319,0.0,0.813125491142,0.880102932453,0.661750137806,0.944579362869,0.73496568203,0.834311366081,0.859974443913,1.00534427166,0.910809516907,0.892450928688,0.922195911407,0.820554018021,0.799849569798,0.724038958549,0.759486019611,0.928290903568,0.747252583504,0.876868367195,0.737685203552,0.781305611134,0.764264822006,0.861847221851,0.676377594471,0.895057916641,0.90103495121,0.794855415821,0.893455684185,0.694594919682,0.845561504364,0.81261742115,0.861799776554,0.893931150436,0.811771094799,0.729394435883,0.780568659306,0.789792776108,0.650771379471,0.810185551643,0.844496369362,0.754061043262,0.885767579079,0.797636985779,0.75981336832,0.878982663155,0.879020094872,0.731084823608,0.92627543211,0.931747317314,0.825584053993,0.753749608994,0.880149304867,0.72216874361,0.946791708469,0.779495894909,0.706444382668,0.799628973007,0.812650024891,0.816244006157,0.928435981274,0.809038996696,0.61240208149,0.741610169411,0.872676551342,0.793343305588,0.675494134426,0.909632265568,0.855890393257,0.729977250099,0.690965533257,0.816254913807,0.843917489052,0.893639206886,0.740794241428,0.783460378647,0.772159695625,0.753579080105,0.865795910358,0.865795910358,0.767436563969,0.833184719086,0.731485724449,0.885736525059,0.904249191284,0.70786690712,0.893717467785,1.01524662971,0.838757038116,0.808436274529,0.720220685005,0.800665020943,0.889388620853,0.810193061829,0.710770368576,0.737062931061,0.719379901886,0.866905212402,0.764298141003,0.827511250973,0.716064810753,0.805711150169,0.851621031761,0.739304423332,0.78223335743,0.769625604153,0.797666728497,0.848943769932,0.83651393652,0.912529945374,0.789662361145,0.748129606247,0.807484388351,0.755966961384,0.914458870888,0.832921504974,0.80585539341,0.818051934242,0.80837726593,0.769369840622,0.699469447136,0.880869448185,0.804876327515,0.809610009193,0.769531488419,0.720222830772,0.751272857189,0.679026246071,0.767704248428,0.923476874828,0.80704921484,0.830431342125,0.731762349606,0.879016578197,0.75755405426,0.824120879173,0.792896091938,0.758708953857,0.81883764267,0.845118403435,0.689375340939,0.814620494843,0.826575398445,0.788536310196
rietje,0.786529183388,0.632240772247,0.788556694984,0.745691537857,0.813125491142,5.96046447754e-08,0.871793627739,0.627189159393,0.955566167831,0.631185770035,0.678165376186,0.848553717136,0.825872421265,0.76283043623,0.830157220364,0.730927228928,0.79173374176,0.594986081123,0.741050839424,0.780893743038,0.740076959133,0.77734452486,0.846625745296,0.50968849659,0.86110830307,0.800583004951,0.718830108643,0.520963132381,0.871028184891,0.796444773674,0.744038641453,0.794925034046,0.641925513744,0.65452080965,0.706236481667,0.82214152813,0.855939984322,0.828010261059,0.704161524773,0.610564827919,0.755300343037,0.749759674072,0.825387060642,0.909162402153,0.756990373135,0.828936040401,0.931085944176,0.664929628372,0.80256575346,0.831910014153,0.830607175827,0.831613481045,0.778613328934,0.66484773159,0.830514431,0.948151648045,0.686725914478,0.713673472404,0.760703146458,0.719122409821,0.846638143063,0.81327009201,0.812210440636,0.752304673195,0.572879731655,0.704687178135,0.746234476566,0.688119888306,0.732674956322,0.718564510345,0.812525331974,0.838020086288,0.657079577446,0.81337416172,0.890202999115,0.701239228249,0.901442408562,0.781314730644,0.661779165268,0.675640583038,0.805508613586,0.866964519024,0.866964519024,0.842040896416,0.886485099792,0.668029069901,0.842857599258,0.763186216354,0.797423899174,0.859397828579,0.883442699909,0.843435943127,0.781055748463,0.866849064827,0.818431317806,1.00717163086,0.692804634571,0.696921229362,0.770507454872,0.996630787849,0.795827507973,0.625755190849,0.671684503555,0.716646432877,0.882365345955,0.859269201756,0.679590702057,0.702972888947,0.754006028175,0.845296263695,0.72941339016,0.791296482086,0.792038679123,0.732972323895,0.755294680595,0.846963584423,0.805939435959,0.792120575905,0.555868208408,0.733859181404,0.668769538403,0.821675777435,0.710734903812,0.666993498802,0.863033652306,0.69482755661,0.673537611961,0.584649085999,0.740867257118,0.65540099144,0.689411640167,0.737934529781,0.895170927048,0.732980847359,0.898256480694,0.654292702675,0.839592218399,0.736560225487,0.7700984478,0.857673764229,0.621238708496,0.730459094048,0.737776398659,0.782911658287,0.697817206383,0.713705658913,0.713794112206
zeehond,0.901009380817,0.879514575005,0.978688955307,0.767760872841,0.880102932453,0.871793627739,5.96046447754e-08,0.897264719009,0.568063616753,0.913273870945,0.728833198547,0.654114425182,0.905792593956,0.448902487755,0.891477048397,0.843562722206,0.684234261513,0.827389836311,0.928283214569,0.832730829716,0.874812483788,0.94275611639,0.85006916523,0.877743959427,0.934413969517,0.91300547123,0.586721420288,0.872752070427,0.923099637032,0.755564272404,0.666058301926,0.599706888199,0.873232603073,0.903552293777,0.927918493748,0.922451019287,0.655214726925,0.925457119942,0.866211354733,0.983247280121,0.872645556927,0.810480356216,0.802559137344,0.724235773087,0.657678723335,0.704810738564,0.854426503181,0.953864336014,0.932192087173,0.929871201515,0.854198634624,0.91420173645,0.736481189728,0.959356188774,0.876398921013,0.888787925243,0.885482847691,0.869395971298,0.909146785736,0.888885140419,0.798799335957,0.799733936787,0.715940713882,0.979625761509,0.96771812439,0.809997081757,0.884300947189,0.79036962986,0.643374562263,0.855092525482,0.614668011665,0.899207651615,0.852655410767,0.799105882645,0.803207874298,0.888120889664,0.922439217567,0.928938150406,0.759319067001,0.817839324474,0.800805985928,0.954830348492,0.954830348492,0.86260509491,0.908090889454,0.846177101135,0.834548532963,0.882878303528,0.950700640678,0.849073469639,0.849191904068,0.943189918995,0.947062730789,0.776006221771,0.769562840462,0.901861846447,0.855186283588,0.773170948029,0.796238422394,1.00317287445,0.487352907658,0.58739554882,0.902483165264,0.948781073093,1.0929710865,0.511700630188,0.871576309204,0.824665248394,0.862665951252,0.818634152412,0.70358735323,0.971361517906,0.936335861683,0.84600687027,0.76133787632,0.815655231476,0.806900799274,0.835866570473,0.737798333168,0.915110588074,0.975925922394,0.643656730652,0.840988516808,0.628528654575,0.845816552639,0.849167108536,1.00237751007,0.879618763924,0.801402568817,0.828899621964,0.909636855125,0.845470786095,0.633170127869,0.887868463993,0.924427628517,0.814907550812,0.790122270584,0.92386174202,0.818507671356,0.535884380341,0.828018784523,0.615905165672,0.82023525238,0.886589169502,0.659729242325,0.692127346992,0.803957760334
boor,0.617239952087,0.61117297411,0.752403616905,0.750653624535,0.661750137806,0.627189159393,0.897264719009,1.19209289551e-07,1.10076737404,0.620507836342,0.908643782139,0.896787643433,0.906194210052,0.779982984066,0.816713988781,0.91114038229,0.682136893272,0.753811478615,0.787146806717,0.952898681164,0.850324869156,0.814978420734,0.879485785961,0.805698394775,0.808555483818,0.950066268444,0.904045939445,0.713391840458,0.813757121563,0.920100927353,0.771963834763,0.910816907883,0.455298483372,0.833692848682,0.805457055569,0.7691385746,0.868808507919,0.900354504585,0.635830044746,0.657812595367,0.848836541176,0.736721396446,0.922105312347,0.833400130272,0.651335895061,0.86760866642,0.69919025898,0.701917886734,0.839958071709,0.990927159786,0.768462955952,0.94738471508,0.858289480209,0.698767662048,0.846245408058,0.763234198093,0.735098719597,1.01416254044,0.748832345009,0.695032954216,0.814572155476,0.857442855835,0.853478193283,0.827516436577,0.674862384796,0.540805578232,0.826535880566,0.644904494286,0.725789904594,0.773702383041,0.881629884243,0.866655409336,0.773565471172,0.595340013504,0.911390662193,0.755907058716,0.940218031406,0.763209223747,0.751269161701,0.775370001793,0.687520861626,0.858479976654,0.858479976654,0.761576116085,0.903132200241,0.680671691895,0.888065516949,0.825659036636,0.728430271149,0.885209023952,0.788778662682,0.916178524494,0.86394906044,0.890624880791,0.865744292736,0.864160180092,0.745328307152,0.663605630398,0.818800985813,0.924343526363,0.801745772362,0.697937786579,0.855247855186,0.783180117607,0.926818728447,0.871965229511,0.536575317383,0.844475269318,0.768706679344,0.752692461014,0.887600123882,0.856262743473,1.00253283978,0.767113029957,0.672008633614,0.798048138618,0.775642752647,0.886057257652,0.666314303875,0.697002410889,0.676694273949,0.936569333076,0.921173334122,0.589392781258,0.817049980164,0.787104427814,0.744352459908,0.737841367722,0.905882358551,0.77138030529,0.704028427601,0.863052368164,0.946891665459,0.754584610462,0.87464505434,0.678520083427,0.818292498589,0.756845712662,0.840629696846,0.928128123283,0.638867139816,0.838401198387,0.910512328148,0.715904295444,0.8537940979,0.857600867748,0.866849541664
ooievaar,0.852967083454,1.00644433498,1.10082232952,0.769660890102,0.944579362869,0.955566167831,0.568063616753,1.10076737404,0.0,0.97952747345,0.852820456028,0.596856832504,0.995763838291,0.777196466923,0.983103513718,0.873184740543,0.718566536903,0.890380263329,0.919002771378,0.831912398338,0.955894887447,0.916998386383,0.849202692509,0.949141919613,1.00204086304,0.930188417435,0.540928006172,1.00271332264,0.952753126621,0.809839844704,0.5628708601,0.675673365593,1.05157446861,0.875442147255,0.936974048615,0.988761365414,0.627664446831,0.855572402477,0.892229318619,0.91361451149,0.869635820389,0.79890871048,0.852355122566,0.651587605476,0.948392271996,0.875562787056,1.0023624897,0.961785078049,0.978746414185,0.876368880272,0.912848949432,0.862626314163,0.784394145012,1.03561508656,0.933732926846,0.854067623615,0.936774909496,0.978717386723,0.967821240425,0.997982978821,0.815956234932,0.871561050415,0.697396993637,0.936198055744,0.973698854446,0.901515066624,0.911583065987,0.994471251965,0.659845769405,0.894671797752,0.713073372841,0.887493669987,0.949459075928,0.96693110466,0.736614584923,0.938340246677,0.874831080437,0.873337566853,0.885434150696,0.898332774639,0.92160487175,0.851406335831,0.851406335831,0.847959756851,0.861056029797,0.953390479088,0.950773477554,0.970551013947,1.00525140762,0.725389242172,1.03662979603,0.95224916935,0.970406472683,0.721110582352,0.757441282272,0.935882210732,0.757361292839,0.971229910851,0.868001103401,0.982463777065,0.542372345924,0.706855535507,0.901766359806,0.882166624069,1.07775306702,0.630379080772,0.970804393291,0.92069965601,0.907035887241,0.800379276276,0.724506139755,0.977656960487,0.979629278183,0.976378619671,0.856447696686,0.980344116688,0.96954613924,0.935699164867,0.886853218079,0.948508739471,0.938273668289,0.541160345078,0.846382081509,0.74251306057,0.931291878223,0.932984352112,1.00205719471,0.940571784973,0.866187155247,0.854982316494,0.867897391319,0.87203091383,0.949904859066,0.869645476341,0.855646431446,0.937766671181,0.700994849205,0.98361825943,0.944301843643,0.511645674706,0.875918030739,0.717875003815,0.903550088406,0.887465238571,0.780343055725,0.756456196308,0.77038872242
dweil,0.776158809662,0.506137251854,0.736173510551,0.743123173714,0.73496568203,0.631185770035,0.913273870945,0.620507836342,0.97952747345,0.0,0.816972732544,0.775602996349,0.751969695091,0.78183734417,0.713544845581,0.75747436285,0.632842540741,0.754199206829,0.910825252533,0.951761066914,0.646172642708,0.749105930328,0.799068450928,0.611349463463,0.855145454407,0.697254061699,0.781158030033,0.700600683689,0.841204226017,0.681303620338,0.804069340229,0.844133973122,0.692072153091,0.788041710854,0.701651155949,0.84775519371,0.777974486351,0.717737257481,0.795043587685,0.698507905006,0.799234926701,0.867811620235,0.742633700371,0.796338260174,0.786929130554,0.898391842842,0.912345767021,0.690914988518,0.782959699631,0.821506261826,0.719639897346,0.863652586937,0.819497406483,0.676751494408,0.785646677017,0.870794057846,0.752260446548,0.732186079025,0.923222661018,0.741402804852,0.872198045254,0.758092403412,0.787035822868,0.796576142311,0.698507189751,0.770597398281,0.76197385788,0.53740978241,0.778595626354,0.757470726967,0.785567343235,0.790643453598,0.616339921951,0.744395375252,0.762433469296,0.806813240051,0.735599994659,0.634924650192,0.625828742981,0.788561522961,0.762767314911,0.879577040672,0.879577040672,0.86022657156,0.854642510414,0.678241848946,0.890781164169,0.769168376923,0.733046531677,0.819900691509,0.886370241642,0.838638305664,0.823093056679,0.846697628498,0.8544511199,0.988410949707,0.686360299587,0.737043619156,0.688349604607,0.911389410496,0.791128516197,0.59150159359,0.778176665306,0.634806394577,0.926994979382,0.80802065134,0.660444498062,0.609979152679,0.783837080002,0.727115750313,0.824130415916,0.840685009956,0.872464478016,0.767544925213,0.708872914314,0.765896677971,0.785287022591,0.843929767609,0.659730792046,0.690496563911,0.752683758736,0.861860156059,0.825962841511,0.676932513714,0.836442291737,0.682687759399,0.83558344841,0.729614555836,0.711090683937,0.646384358406,0.755664467812,0.625169098377,0.739772796631,0.71853685379,0.922823488712,0.594933986664,0.801770329475,0.759401977062,0.803104937077,0.887857913971,0.687750756741,0.739012360573,0.795390367508,0.681486725807,0.778583467007,0.709339499474,0.772946000099
